City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
59,Baruun-Urt,MN,46.6806,113.2792,17.49,67,84,16.28,broken clouds,2022-02-26 04:59:42
60,Darhan,MN,49.4867,105.9228,18.68,77,100,5.53,overcast clouds,2022-02-26 04:59:42
61,Pevek,RU,69.7008,170.3133,-4.41,95,100,4.76,overcast clouds,2022-02-26 04:59:43
62,Ilulissat,GL,69.2167,-51.1,-13.88,99,100,7.58,overcast clouds,2022-02-26 04:59:43
63,Inirida,CO,3.8653,-67.9239,73.71,95,100,2.19,overcast clouds,2022-02-26 04:59:43
64,Thompson,CA,55.7435,-97.8558,15.96,79,100,14.97,overcast clouds,2022-02-26 04:59:44
65,Zhigansk,RU,66.7697,123.3711,-0.08,88,100,15.52,overcast clouds,2022-02-26 04:59:44
66,Mar Del Plata,AR,-38.0023,-57.5575,66.87,71,0,2.3,clear sky,2022-02-26 04:59:44
67,Longyearbyen,SJ,78.2186,15.6401,1.24,66,75,14.97,broken clouds,2022-02-26 04:59:45
68,Clearwater,US,27.9659,-82.8001,70.18,82,0,10.0,clear sky,2022-02-26 04:54:49
69,Hay River,CA,60.8156,-115.7999,-2.24,77,75,4.61,broken clouds,2022-02-26 04:59:45
70,Morro Bay,US,35.3658,-120.8499,50.25,64,0,6.42,clear sky,2022-02-26 04:56:31
71,Qaanaaq,GL,77.484,-69.3632,0.46,55,10,9.69,clear sky,2022-02-26 04:59:45
72,East London,ZA,-33.0153,27.9116,67.14,88,20,3.44,few clouds,2022-02-26 04:59:46
73,Jamestown,US,42.097,-79.2353,21.09,68,100,6.91,mist,2022-02-26 04:59:46
74,Bluff,NZ,-46.6,168.3333,56.8,54,2,15.68,clear sky,2022-02-26 04:59:46
75,Port Lincoln,AU,-34.7333,135.8667,72.0,55,49,11.56,scattered clouds,2022-02-26 04:59:47
76,Vaini,TO,-21.2,-175.2,86.16,74,75,11.5,broken clouds,2022-02-26 04:59:47
77,Mount Gambier,AU,-37.8333,140.7667,84.11,34,40,8.05,scattered clouds,2022-02-26 04:59:47
78,Quatre Cocos,MU,-20.2078,57.7625,84.09,81,29,12.37,light rain,2022-02-26 04:59:48
79,Gusau,NG,12.1628,6.6614,64.85,17,0,12.46,clear sky,2022-02-26 04:59:48
80,Buchanan,LR,5.8808,-10.0467,77.97,91,34,6.17,light rain,2022-02-26 04:59:49
81,Atar,MR,20.5169,-13.0499,73.72,32,100,6.82,overcast clouds,2022-02-26 04:59:49
82,Baena,ES,37.6167,-4.3225,52.52,85,54,4.18,broken clouds,2022-02-26 04:56:44
83,Mercedes,AR,-34.6515,-59.4307,71.83,42,0,7.76,clear sky,2022-02-26 04:59:49
84,Lagoa,PT,39.05,-27.9833,59.77,90,91,24.38,overcast clouds,2022-02-26 04:59:50
85,Mountain Home,US,43.133,-115.6912,21.42,81,7,6.96,clear sky,2022-02-26 04:59:50
86,Tiksi,RU,71.6872,128.8694,-2.25,95,100,7.94,overcast clouds,2022-02-26 04:59:50
87,Maine-Soroa,NE,13.2114,12.0241,60.85,26,0,10.27,clear sky,2022-02-26 04:59:51
88,Show Low,US,34.2542,-110.0298,31.08,67,0,0.0,clear sky,2022-02-26 04:59:51
89,Seabra,BR,-12.4186,-41.7703,64.09,97,54,4.68,broken clouds,2022-02-26 04:59:51
90,Port Macquarie,AU,-31.4333,152.9167,78.76,84,100,8.68,light rain,2022-02-26 04:59:52
91,Solnechnyy,RU,50.7214,136.6319,21.52,90,100,2.82,light snow,2022-02-26 04:59:52
92,Mehamn,NO,71.0357,27.8492,20.44,69,89,17.58,overcast clouds,2022-02-26 04:59:52
93,New Norfolk,AU,-42.7826,147.0587,72.66,32,17,8.21,few clouds,2022-02-26 04:59:53
94,Busselton,AU,-33.65,115.3333,80.71,46,23,15.12,few clouds,2022-02-26 04:59:53
95,Cape Town,ZA,-33.9258,18.4232,66.11,86,0,13.8,clear sky,2022-02-26 04:56:24
96,Georgetown,MY,5.4112,100.3354,85.93,78,20,11.5,few clouds,2022-02-26 04:58:08
97,Richards Bay,ZA,-28.783,32.0377,72.1,76,23,4.29,few clouds,2022-02-26 04:59:54
98,Itoman,JP,26.1247,127.6694,69.4,60,75,14.97,broken clouds,2022-02-26 04:59:54
99,Qandala,SO,11.472,49.8728,78.37,68,35,3.74,scattered clouds,2022-02-26 04:59:54
100,Nelson Bay,AU,-32.7167,152.15,72.95,89,100,1.99,light rain,2022-02-26 04:59:54
101,Stutterheim,ZA,-32.5708,27.424,57.83,90,27,4.29,scattered clouds,2022-02-26 04:59:55
102,Bambous Virieux,MU,-20.3428,57.7575,84.22,78,20,6.91,light rain,2022-02-26 04:59:55
103,Ixtapa,MX,20.7,-105.2,70.23,89,3,2.44,clear sky,2022-02-26 04:59:09
104,Mongoumba,CF,3.6415,18.5936,71.17,61,73,2.21,broken clouds,2022-02-26 04:59:56
105,Bagdarin,RU,54.4333,113.6,16.41,64,100,2.73,overcast clouds,2022-02-26 04:59:56
106,Urumqi,CN,43.801,87.6005,22.15,74,95,2.24,smoke,2022-02-26 04:59:56
107,Kapuskasing,CA,49.4169,-82.4331,5.09,78,40,12.66,scattered clouds,2022-02-26 04:59:57
108,Dingle,PH,10.9995,122.6711,85.55,57,100,18.79,overcast clouds,2022-02-26 04:59:57
109,The Valley,AI,18.217,-63.0578,77.09,71,1,15.05,clear sky,2022-02-26 04:59:57
110,Klaksvik,FO,62.2266,-6.589,47.32,92,100,44.05,overcast clouds,2022-02-26 04:59:57
111,Sao Filipe,CV,14.8961,-24.4956,67.44,78,10,16.49,clear sky,2022-02-26 04:59:58
112,Balkhash,KZ,46.844,74.9804,23.61,80,0,8.95,clear sky,2022-02-26 04:59:58
113,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,75,0,4.61,clear sky,2022-02-26 04:59:58
114,Black Forest,US,39.0131,-104.7008,20.97,62,100,6.91,overcast clouds,2022-02-26 04:59:59
115,Hermanus,ZA,-34.4187,19.2345,66.79,92,0,8.41,clear sky,2022-02-26 04:59:59
116,Albany,US,42.6001,-73.9662,13.95,71,71,4.43,broken clouds,2022-02-26 04:59:55
117,Mackay,AU,-21.15,149.2,88.68,70,75,12.66,broken clouds,2022-02-26 04:55:52
118,Rio Tuba,PH,8.5061,117.4317,83.43,68,53,17.34,broken clouds,2022-02-26 04:59:59
119,Nara,JP,34.6851,135.8049,53.91,34,3,8.59,clear sky,2022-02-26 05:00:00
120,Tilichiki,RU,60.4667,166.1,16.45,95,99,3.51,overcast clouds,2022-02-26 05:00:00
121,Rawson,AR,-43.3002,-65.1023,65.82,57,0,15.26,clear sky,2022-02-26 05:00:01
122,Bojnurd,IR,37.4747,57.329,52.39,42,20,9.37,few clouds,2022-02-26 05:00:04
123,Galdar,ES,28.147,-15.6502,61.3,81,51,15.12,broken clouds,2022-02-26 05:00:09
124,Butaritari,KI,3.0707,172.7902,82.04,77,21,17.31,few clouds,2022-02-26 05:00:14
125,Pitanga,BR,-24.7572,-51.7614,65.3,98,99,2.82,overcast clouds,2022-02-26 05:00:24
