City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Grand Gaube,MU,84.6,few clouds,-20.0064,57.6608,Goodlands
534,Sola,VU,82.9,moderate rain,-13.8833,167.55,Sola
537,Tura,IN,77.95,clear sky,25.5198,90.2201,Tura
552,Pizarro,CO,75.36,light rain,4.9533,-77.366,Pizarro
553,Sampang,ID,89.55,light rain,-7.1872,113.2394,Sampang
555,Kalmunai,LK,81.7,scattered clouds,7.4167,81.8167,Kalmunai
557,Mount Gambier,AU,79.56,clear sky,-37.8333,140.7667,Mount Gambier
564,Wewak,PG,83.14,light rain,-3.5534,143.6268,Wewak
568,Pochutla,MX,76.82,clear sky,15.7432,-96.4661,Pochutla District
581,Whyalla,AU,80.17,scattered clouds,-33.0333,137.5833,Whyalla
585,Quatre Cocos,MU,84.31,light rain,-20.2078,57.7625,Central Flacq
588,Warri,NG,76.71,overcast clouds,5.5167,5.75,Warri
589,Itarema,BR,78.15,broken clouds,-2.9248,-39.9167,Itarema
593,Dwarka,IN,75.29,clear sky,22.2394,68.9678,Dwarka
596,Daru,PG,86.54,overcast clouds,-9.0763,143.2092,Daru
601,Palmerston,AU,80.58,heavy intensity rain,-12.486,130.9833,Darwin
605,Waiuku,NZ,78.98,clear sky,-37.25,174.75,Waiuku
606,Sibolga,ID,82.44,broken clouds,1.7427,98.7792,Sibolga
611,Ambilobe,MG,79.36,overcast clouds,-13.2,49.05,Ambilobe
617,Luganville,VU,78.96,moderate rain,-15.5333,167.1667,Luganville
618,Balikpapan,ID,86.99,scattered clouds,-1.2675,116.8289,Balikpapan
620,San Juan,AR,76.51,clear sky,-31.5375,-68.5364,San Juan
626,Deniliquin,AU,79.48,broken clouds,-35.5333,144.9667,Deniliquin
628,Cozumel,MX,75.18,clear sky,20.5083,-86.9458,San Miguel de Cozumel
631,Santa Fe,AR,77.99,light rain,-31.6333,-60.7,Santa Fe
632,Kampot,KH,84.25,overcast clouds,10.6167,104.1833,Krong Kampot
633,Saint-Leu,RE,83.26,broken clouds,-21.15,55.2833,Saint-Paul
634,Ugoofaaru,MV,83.01,scattered clouds,5.6667,73.0,Ungoofaaru
635,Vaitape,PF,82.04,few clouds,-16.5167,-151.75,Vaitape
639,Mangrol,IN,76.44,few clouds,21.1167,70.1167,Mangrol
649,Kaohsiung,TW,78.75,scattered clouds,22.6163,120.3133,Kaohsiung
652,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Padang
653,Sur,OM,78.03,clear sky,22.5667,59.5289,Sur
